Comunidades autónomas;Tipología penal;Periodos:;Total
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2023;480.101
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;484.467
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;0,9
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2023;85
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;92
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;8,2
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2023;275
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;266
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-3,3
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2023;5.687
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;6.242
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;9,8
TOTAL NACIONAL;4. Secuestro;enero-marzo 2023;32
TOTAL NACIONAL;4. Secuestro;enero-marzo 2024;28
TOTAL NACIONAL;4. Secuestro;Variación % 2024/2023;-12,5
TOTAL NACIONAL;5. Delitos contra la libertad sexual;enero-marzo 2023;4.293
TOTAL NACIONAL;5. Delitos contra la libertad sexual;enero-marzo 2024;4.568
TOTAL NACIONAL;5. Delitos contra la libertad sexual;Variación % 2024/2023;6,4
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;enero-marzo 2023;1.020
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;enero-marzo 2024;1.138
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;Variación % 2024/2023;11,6
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2023;3.273
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;3.430
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;4,8
TOTAL NACIONAL;6. Robos con violencia e intimidación;enero-marzo 2023;15.378
TOTAL NACIONAL;6. Robos con violencia e intimidación;enero-marzo 2024;15.020
TOTAL NACIONAL;6. Robos con violencia e intimidación;Variación % 2024/2023;-2,3
